  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 40.000000 
  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 39.000000 
  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 39.000000 
  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 41.000000 
  array size  ( = 262144) *  size of each item(= 16) = 4194304,   average = 40.000000 
  array size  ( = 262144) *  size of each item(= 16) = 4194304,   average = 40.000000 
  array size  ( = 262144) *  size of each item(= 16) = 4194304,   average = 40.000000 
  array size  ( = 262144) *  size of each item(= 16) = 4194304,   average = 40.000000 
  array size  ( = 262144) *  size of each item(= 16) = 4194304,   average = 40.000000 
  array size  ( = 262144) *  size of each item(= 16) = 4194304,   average = 40.000000 
  array size  ( = 262144) *  size of each item(= 16) = 4194304,   average = 40.000000 
  array size  ( = 262144) *  size of each item(= 16) = 4194304,   average = 40.000000 
  array size  ( = 262144) *  size of each item(= 16) = 4194304,   average = 40.000000 
  array size  ( = 262144) *  size of each item(= 16) = 4194304,   average = 44.000000 
  array size  ( = 524288) *  size of each item(= 16) = 8388608,   average = 40.000000 
  array size  ( = 524288) *  size of each item(= 16) = 8388608,   average = 40.000000 
  array size  ( = 524288) *  size of each item(= 16) = 8388608,   average = 40.000000 
  array size  ( = 524288) *  size of each item(= 16) = 8388608,   average = 47.000000 
  array size  ( = 524288) *  size of each item(= 16) = 8388608,   average = 41.000000 
  array size  ( = 524288) *  size of each item(= 16) = 8388608,   average = 40.000000 
  array size  ( = 524288) *  size of each item(= 16) = 8388608,   average = 40.000000 
  array size  ( = 524288) *  size of each item(= 16) = 8388608,   average = 40.000000 
  array size  ( = 524288) *  size of each item(= 16) = 8388608,   average = 40.000000 
  array size  ( = 524288) *  size of each item(= 16) = 8388608,   average = 40.000000 
  array size  ( = 1048576) *  size of each item(= 16) = 16777216,   average = 44.000000 
  array size  ( = 1048576) *  size of each item(= 16) = 16777216,   average = 40.000000 
  array size  ( = 1048576) *  size of each item(= 16) = 16777216,   average = 40.000000 
  array size  ( = 1048576) *  size of each item(= 16) = 16777216,   average = 40.000000 
  array size  ( = 1048576) *  size of each item(= 16) = 16777216,   average = 40.000000 
  array size  ( = 1048576) *  size of each item(= 16) = 16777216,   average = 40.000000 
  array size  ( = 1048576) *  size of each item(= 16) = 16777216,   average = 40.000000 
  array size  ( = 1048576) *  size of each item(= 16) = 16777216,   average = 40.000000 
  array size  ( = 1048576) *  size of each item(= 16) = 16777216,   average = 40.000000 
  array size  ( = 1048576) *  size of each item(= 16) = 16777216,   average = 40.000000 
  array size  ( = 2097152) *  size of each item(= 16) = 33554432,   average = 40.000000 
