  array size  ( = 512) *  size of each item(= 8) = 4096,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 8) = 4096,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 8) = 4096,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 8) = 4096,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 8) = 4096,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 8) = 4096,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 8) = 4096,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 8) = 4096,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 8) = 4096,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 8) = 4096,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 8) = 8192,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 8) = 8192,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 8) = 8192,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 8) = 8192,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 8) = 8192,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 8) = 8192,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 8) = 8192,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 8) = 8192,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 8) = 8192,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 8) = 8192,   average = 24.000000 
  array size  ( = 2048) *  size of each item(= 8) = 16384,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 8) = 16384,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 8) = 16384,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 8) = 16384,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 8) = 16384,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 8) = 16384,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 8) = 16384,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 8) = 16384,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 8) = 16384,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 8) = 16384,   average = 9.000000 
  array size  ( = 4096) *  size of each item(= 8) = 32768,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 8) = 32768,   average = 9.000000 
  array size  ( = 4096) *  size of each item(= 8) = 32768,   average = 9.000000 
  array size  ( = 4096) *  size of each item(= 8) = 32768,   average = 9.000000 
  array size  ( = 4096) *  size of each item(= 8) = 32768,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 8) = 32768,   average = 9.000000 
