  array size  ( = 512) *  size of each item(= 4) = 2048,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 4) = 2048,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 4) = 2048,   average = 12.000000 
  array size  ( = 512) *  size of each item(= 4) = 2048,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 4) = 2048,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 4) = 2048,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 4) = 2048,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 4) = 2048,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 4) = 2048,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 4) = 2048,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 4) = 4096,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 4) = 4096,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 4) = 4096,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 4) = 4096,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 4) = 4096,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 4) = 4096,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 4) = 4096,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 4) = 4096,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 4) = 4096,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 4) = 4096,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 4) = 8192,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 4) = 8192,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 4) = 8192,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 4) = 8192,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 4) = 8192,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 4) = 8192,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 4) = 8192,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 4) = 8192,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 4) = 8192,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 4) = 8192,   average = 9.000000 
  array size  ( = 4096) *  size of each item(= 4) = 16384,   average = 12.000000 
  array size  ( = 4096) *  size of each item(= 4) = 16384,   average = 9.000000 
  array size  ( = 4096) *  size of each item(= 4) = 16384,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 4) = 16384,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 4) = 16384,   average = 9.000000 
  array size  ( = 4096) *  size of each item(= 4) = 16384,   average = 9.000000 
  array size  ( = 4096) *  size of each item(= 4) = 16384,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 4) = 16384,   average = 9.000000 
  array size  ( = 4096) *  size of each item(= 4) = 16384,   average = 9.000000 
  array size  ( = 4096) *  size of each item(= 4) = 16384,   average = 10.000000 
  array size  ( = 8192) *  size of each item(= 4) = 32768,   average = 11.000000 
  array size  ( = 8192) *  size of each item(= 4) = 32768,   average = 9.000000 
  array size  ( = 8192) *  size of each item(= 4) = 32768,   average = 9.000000 
  array size  ( = 8192) *  size of each item(= 4) = 32768,   average = 9.000000 
  array size  ( = 8192) *  size of each item(= 4) = 32768,   average = 9.000000 
  array size  ( = 8192) *  size of each item(= 4) = 32768,   average = 9.000000 
  array size  ( = 8192) *  size of each item(= 4) = 32768,   average = 9.000000 
