  array size  ( = 512) *  size of each item(= 32) = 16384,   average = 12.000000 
  array size  ( = 512) *  size of each item(= 32) = 16384,   average = 11.000000 
  array size  ( = 512) *  size of each item(= 32) = 16384,   average = 23.000000 
  array size  ( = 512) *  size of each item(= 32) = 16384,   average = 11.000000 
  array size  ( = 512) *  size of each item(= 32) = 16384,   average = 11.000000 
  array size  ( = 512) *  size of each item(= 32) = 16384,   average = 10.000000 
  array size  ( = 512) *  size of each item(= 32) = 16384,   average = 11.000000 
  array size  ( = 512) *  size of each item(= 32) = 16384,   average = 10.000000 
  array size  ( = 512) *  size of each item(= 32) = 16384,   average = 10.000000 
  array size  ( = 512) *  size of each item(= 32) = 16384,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 32) = 32768,   average = 11.000000 
  array size  ( = 1024) *  size of each item(= 32) = 32768,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 32) = 32768,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 32) = 32768,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 32) = 32768,   average = 11.000000 
  array size  ( = 1024) *  size of each item(= 32) = 32768,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 32) = 32768,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 32) = 32768,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 32) = 32768,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 32) = 32768,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 32) = 65536,   average = 16.000000 
  array size  ( = 2048) *  size of each item(= 32) = 65536,   average = 31.000000 
  array size  ( = 2048) *  size of each item(= 32) = 65536,   average = 11.000000 
  array size  ( = 2048) *  size of each item(= 32) = 65536,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 32) = 65536,   average = 11.000000 
  array size  ( = 2048) *  size of each item(= 32) = 65536,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 32) = 65536,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 32) = 65536,   average = 11.000000 
  array size  ( = 2048) *  size of each item(= 32) = 65536,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 32) = 65536,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 32) = 131072,   average = 26.000000 
  array size  ( = 4096) *  size of each item(= 32) = 131072,   average = 11.000000 
  array size  ( = 4096) *  size of each item(= 32) = 131072,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 32) = 131072,   average = 11.000000 
  array size  ( = 4096) *  size of each item(= 32) = 131072,   average = 13.000000 
  array size  ( = 4096) *  size of each item(= 32) = 131072,   average = 11.000000 
  array size  ( = 4096) *  size of each item(= 32) = 131072,   average = 11.000000 
  array size  ( = 4096) *  size of each item(= 32) = 131072,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 32) = 131072,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 32) = 131072,   average = 10.000000 
  array size  ( = 8192) *  size of each item(= 32) = 262144,   average = 36.000000 
  array size  ( = 8192) *  size of each item(= 32) = 262144,   average = 26.000000 
  array size  ( = 8192) *  size of each item(= 32) = 262144,   average = 20.000000 
  array size  ( = 8192) *  size of each item(= 32) = 262144,   average = 20.000000 
  array size  ( = 8192) *  size of each item(= 32) = 262144,   average = 17.000000 
  array size  ( = 8192) *  size of each item(= 32) = 262144,   average = 21.000000 
  array size  ( = 8192) *  size of each item(= 32) = 262144,   average = 18.000000 
  array size  ( = 8192) *  size of each item(= 32) = 262144,   average = 16.000000 
  array size  ( = 8192) *  size of each item(= 32) = 262144,   average = 18.000000 
  array size  ( = 8192) *  size of each item(= 32) = 262144,   average = 16.000000 
  array size  ( = 16384) *  size of each item(= 32) = 524288,   average = 59.000000 
  array size  ( = 16384) *  size of each item(= 32) = 524288,   average = 48.000000 
  array size  ( = 16384) *  size of each item(= 32) = 524288,   average = 47.000000 
  array size  ( = 16384) *  size of each item(= 32) = 524288,   average = 45.000000 
  array size  ( = 16384) *  size of each item(= 32) = 524288,   average = 45.000000 
  array size  ( = 16384) *  size of each item(= 32) = 524288,   average = 43.000000 
  array size  ( = 16384) *  size of each item(= 32) = 524288,   average = 46.000000 
  array size  ( = 16384) *  size of each item(= 32) = 524288,   average = 46.000000 
  array size  ( = 16384) *  size of each item(= 32) = 524288,   average = 47.000000 
  array size  ( = 16384) *  size of each item(= 32) = 524288,   average = 45.000000 
  array size  ( = 32768) *  size of each item(= 32) = 1048576,   average = 65.000000 
  array size  ( = 32768) *  size of each item(= 32) = 1048576,   average = 62.000000 
  array size  ( = 32768) *  size of each item(= 32) = 1048576,   average = 64.000000 
  array size  ( = 32768) *  size of each item(= 32) = 1048576,   average = 68.000000 
  array size  ( = 32768) *  size of each item(= 32) = 1048576,   average = 64.000000 
